Scenario,Crossing,Country,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
SSP370,Tucson_Crossing,Crawler_Outputs,3110.385948327408,3793.347679086354,3767.963741690005,3404.6396466510564,3307.799349926723,3545.7721466084004,3689.462372660612,3667.332211220996,3864.3454443638775,3769.125247490043,4016.524491067236,3569.606864077274,3516.0386197844887,3951.500683158584,4239.823286925956,3771.016210279918,3620.49992381592,3767.6339934050966,3943.662860607265,3703.819336855424,3443.964412156884,3808.309522596253,4036.7291606622666,3611.162458517738,3983.838864557035,4113.961885715943,3813.034262014188,4115.498798834125,3996.38439187468,3561.0563618599544,4211.20428251838,3872.86049802348,3418.430676195996,3953.737049630467,4551.190996380403,4273.958464346875,4036.232836488985,4007.599648554477,4150.497926355747,3951.564186538357,4239.063164124751,4358.746044626934,4329.642213160436,3962.833545817339,3631.590143069469,4268.7184344823845,4211.176872679152,3658.6993319662897,3919.738187134018,4270.516092680083,4454.916984249368,4498.921289891395,4278.039269976428,4160.48613242599,4433.820549866939,4480.073988541643,4452.14676590512,4494.463090417992,4691.802153698406,4409.5283053703,4269.167058192688,4269.053058129301,4635.240013929437,4299.349006303172,4414.004146766509,4722.804269593992,4598.838613920198,4872.919725426323,4429.835127970927,4406.483103515568,4501.054436334981,4681.106400651942,4431.501549029901,4556.293627105313,4628.179036599127,4713.618074730515,4803.568955182996,4790.136648248025
SSP585,Tucson_Crossing,Crawler_Outputs,3059.339207366161,3040.852582132916,3623.913140622768,3419.357521003853,3399.191649779213,3822.794993577559,3566.26101816563,2601.7469711521903,3258.886470389617,3887.172823461312,3825.011571553527,3227.1637329411537,3409.2758491886266,4010.573303763007,3911.7817198056073,3737.922147673493,3885.55991295353,3330.532847121762,3721.682627501637,3462.4803586711764,4025.539389695704,4034.824362362546,4019.703344561216,3536.933664503308,3816.719550767312,4232.858788442876,3954.885964844182,3468.9356790313886,4122.147450356734,4361.161813185553,4310.94740034368,4580.842812336316,3991.682937094683,3868.264783746511,4153.8711073874665,4611.358219876614,4012.592488328266,4192.135927444831,4469.374482925269,4190.270302917116,4313.331306950187,4746.803778672543,4514.561946542937,4452.365117389577,4476.606764098431,4346.194124269144,4738.069680458858,5097.491673230097,5189.500857320566,4666.920239458158,4907.734810913348,5181.066984829055,4497.292982690816,4655.753346076419,4783.382468442015,4934.720267262415,5149.556333994774,4815.314538786065,5119.577570009401,5255.055032750041,5151.85187034067,5121.411290592403,5010.587482179702,4916.420940147759,4963.21856055461,5103.840493006188,5244.241846535161,5441.1256351476295,5490.790781548267,5532.998937275243,5262.888684949824,5396.35959103973,5629.347168467227,5495.632960248074,5011.546922103696,5384.004417655606,5598.548750974203,5434.038878980628
SSP119,Rio_Grande_Crossing,Crawler_Outputs,53249.91000931415,54495.37554590836,52962.71647160251,53228.198515732336,53929.898207315375,53596.76122874986,54522.31583922997,53866.42636009986,52802.69900872509,55106.77692068043,54381.0530517313,54347.090699650296,53372.67511233458,53997.07678500383,55603.38630751837,55268.50481805601,53815.60765949765,55096.62884602022,55021.17591003184,55126.594583214166,55153.94189760059,55354.085714016735,55577.9332970518,56190.824794731576,55593.74511593838,56625.624967883865,56524.63383113757,55915.1267602854,54533.017177912414,55320.12596484703,56439.96873221998,56902.0049989438,57176.92898349473,58408.58231010149,57387.28074435204,57395.02479195955,57890.15281177805,57787.201348353854,57887.99796689198,57571.53275741278,57789.71517619527,59120.64376208635,59107.29181709591,58871.45178648837,58636.22323392714,58737.54140726951,59488.50105087783,57925.55582863093,58568.87735143913,60085.92906383986,59232.76597617902,58484.2735423288,61317.80151915209,59902.38436790324,59943.14823001186,60914.18601634882,60064.368073294245,59895.10721114154,60701.31569469943,60607.62632521206,60416.22636085302,60676.1511486208,61069.57598161822,60975.09528760024,61730.28132358754,62792.42933882569,61829.18221817947,60912.1556439754,62259.9897993823,61674.69006530491,62973.33620728014,61445.15531043116,61948.73611500765,62323.11520532711,62721.32395480452,62644.66604737192,62840.78130254173,62789.75151910909
SSP245,Rio_Grande_Crossing,Crawler_Outputs,48731.11984125895,49588.13864798944,53811.37989309435,55585.171699945146,54747.60130906391,56152.63253248858,55909.47489661344,58169.85972497179,58386.2485976146,53123.91752408058,57711.88984954762,56528.08746055231,51887.09354886058,57578.53918307652,56888.656184795975,56197.918443441165,58647.50675657397,52945.95984907187,59219.72972910208,61206.41361449702,58009.3249673793,56437.652381942586,54702.96808164698,56967.138200762354,59111.03375872721,57468.84486967174,61226.61745781628,58799.89653282949,60794.88363665917,58382.75439700992,58353.34358275308,62317.292411001945,62424.02995784446,58309.13040830221,58634.01059828737,54248.279600387774,57172.12821352948,60418.03180640183,59900.19637833557,61975.10195959981,60741.35815384248,60269.49569255106,60003.01578136648,63975.634146510456,61022.57464706733,59313.83790438032,63036.32181417712,62550.17293293179,61199.39037909038,60541.49919301432,58307.46177817528,57680.09713046229,59538.93587319264,59560.138059541816,58881.1225089185,61011.15901846647,63516.12247218989,62272.9764926167,60296.8883269458,61047.61372709606,60103.20045194405,59099.74885159783,55921.64771134202,62761.99014339112,62101.22946270888,60913.5196768031,62521.97975187937,63008.162170575066,59376.00929870672,60184.00248482608,62011.643105349285,59536.69024974885,62065.0370318584,58265.17135822319,62183.02511354376,60022.98402769689,63857.68349251639,65543.19255042111
SSP370,Rio_Grande_Crossing,Crawler_Outputs,51653.57730165078,51401.29590585117,51930.54333707936,52710.728217268406,53280.47597077198,53768.77189658019,54154.357306526006,53419.84074968803,54125.02306713103,55094.99681009306,56635.00064599855,55528.04567337337,56064.2731732507,55750.52470904345,55697.37432112882,54767.38930193262,54872.25917537314,55618.3133776813,56595.532591142095,57805.19074463457,55569.61440584778,55044.92455144072,55938.70142333274,56289.837673178015,55683.483669595575,56925.70663005521,56022.076014541584,57135.313676011225,57436.39513698925,56340.24201964992,54635.1243580054,56539.17991124505,55997.31855715763,55222.51399952395,56965.09906736148,59047.82314586866,59202.69472780644,56607.7377442415,57446.78875471024,59060.282362817976,57089.92209250982,57329.27108323056,57635.89944286884,58439.280444728,58321.98242972315,56894.342402016766,56806.58361289168,59284.75644756124,57058.071070741935,57875.38566971426,59476.4584712526,59603.99366266374,59806.34563552598,60514.28813220668,58022.837870053365,61947.23846450847,59835.57824938095,59371.08153450248,60365.28646634877,58529.16645165611,58476.33454596123,61407.176775604414,60036.94316800402,59577.80757049091,63472.16467555171,61762.004378761456,61441.090064610384,63134.84119208962,61453.37083525991,60407.98909178224,61944.4100027157,61219.421372284574,61141.24358993625,63029.0830901548,61836.21753875797,62413.0515216506,63849.52209595945,63325.73460784155
SSP585,Rio_Grande_Crossing,Crawler_Outputs,51797.93801591115,51374.30652648107,55484.64498616121,53873.58522062055,53515.82593756085,55980.3870312724,55697.98368358535,49224.99447338831,52678.01240567042,56908.69611613784,57778.35561177961,54174.91855185766,54944.69522677607,57818.17789662941,57838.27280160066,57510.22608822293,58141.904719147824,56575.50724388385,57837.73705876692,55284.19084548439,59781.16645404484,61595.41470188706,61439.19633959464,58572.59363348383,59998.38273524822,61915.83077307075,62642.48684764881,58965.00195290624,62084.2673729118,62434.5642315184,64132.62511961373,64630.50375121609,62289.00998099396,61034.968230405386,63101.77332054426,66711.01583304093,64438.47764906183,63779.34134238842,67663.47184232008,66051.38428348847,66591.6360294015,69622.6513800214,69112.63853628014,66971.79804716492,69075.46354214514,66851.46523222193,70952.08637351547,71987.31402474346,72349.80424921011,69504.17786980873,71168.7420401966,74634.09349196925,70349.93024834321,71641.40545413969,72019.63960310763,73003.89805068308,74273.55600798666,73212.83283183827,74779.52305020772,77375.50153152196,74598.08325233382,75511.14365557703,74667.51845318971,74767.36077395832,75589.04101006646,75177.50945074271,77427.86907905844,77436.56482207627,79312.94784614014,77094.92942445485,78523.89534184564,80721.79079444929,81116.98353271685,79298.91685481649,77210.1667983984,80243.3778892307,82367.55253215173,79855.81881865748
SSP119,San_Diego_Crossing,Crawler_Outputs,2947.667434256128,3316.2627128899285,2789.700437057226,2842.528876763065,3035.913834696061,2895.8573554494888,3161.372059099796,2917.319402730792,2541.8546596235005,3251.552299662653,2984.9978514867616,2941.340369589546,2594.653349406025,2763.131611179864,3247.9967715580324,3107.378182137555,2606.51651064777,2986.56840591876,2929.5419738030296,2930.7953563156493,2906.892859808512,2938.668245269073,2978.081375154427,3142.850868770556,2917.7476997073773,3217.5221492145765,3152.2668877489164,2923.1594080654554,2445.106660745621,2666.0118373989108,2994.1293885613964,3110.2908395104687,3166.161628095688,3530.306384940229,3168.5119294642645,3138.29293718852,3265.1170965910223,3199.230185548506,3198.994265847788,3064.309705479652,3101.897426037383,3498.030308242216,3461.013839327413,3352.3080409140234,3243.7992708090137,3243.731404665441,3452.988731323412,2916.667759275721,3091.242308708805,3547.3471310139407,3239.7296653918484,2965.838810203979,3846.133990547775,3357.348995371549,3337.76953174825,3617.939664571776,3311.4000596955225,3224.147167094417,3451.206580909415,3388.3040692438058,3293.9175928893487,3344.95539296904,3439.0091087279816,3375.8516192515312,3586.4707592174063,3895.998109989351,3552.909753908864,3224.714419961698,3626.294555398175,3404.9870787464088,3790.7180252589033,3265.598692037563,3395.1464780558867,3483.06334150386,3578.658514028355,3521.2438202461167,3551.7211368514754,3502.564247170398
SSP245,San_Diego_Crossing,Crawler_Outputs,4859.544869599984,4579.598842898582,2948.2337024414423,2300.2357783924454,2700.607310480299,2200.653703158769,2362.389561793231,1519.0417694797054,1496.285977119548,3673.042246046009,1895.2504916600924,2434.621911191872,4361.933310691962,2141.1360959530784,2482.216369404555,2823.639791934529,1904.333500028575,4257.419374010868,1802.8395942146367,1069.3730389688535,2417.007602276198,3112.095171504918,3872.626172134685,3027.7587196163367,2231.17724457368,2954.5746127792536,1510.0786562178284,2548.437857196201,1811.6378537592,2844.139009754489,2920.063088113663,1392.7946716865663,1414.060003969196,3130.163145648024,3063.8519309659023,4888.684309234628,3778.979300054015,2539.9806202215404,2811.9898862991854,2043.105444021768,2602.526573997752,2856.079321781397,3027.178248129418,1496.4293196203205,2746.0948210138063,3496.2087960460303,2065.8799942972587,2325.168233821662,2931.5762769046923,3259.812970560606,4220.816564984055,4536.797934407566,3854.656677047085,3910.261427828926,4246.978805853668,3455.9612480125265,2514.4237979489712,3077.619567788557,3935.065672448177,3697.792684724001,4141.057851625261,4608.024815591998,5948.03656722679,3265.9979696771206,3595.3866638108766,4136.326764844412,3554.703676838129,3423.635328911984,4945.9327731795465,4685.668797195387,4016.052481200442,5073.775094466025,4122.850066040445,5712.478261640854,4203.715384804693,5135.012073288782,3659.6326996616745,3047.077173292816
SSP370,San_Diego_Crossing,Crawler_Outputs,5073.517765735953,5556.038442409111,5065.02057239109,4261.413747336415,3719.9452432215257,3279.940039266071,2967.879759265365,4051.113425152329,3340.9361492180537,2300.912230829964,550.8105148450815,2097.98503805935,1598.2722029250276,2157.361469747854,2391.827685327396,3718.553435174702,3756.176219946371,2995.085460061146,1946.0359695181,607.4408345317746,3560.52178957417,4382.377530710191,3437.270893116424,3168.123406731523,4091.7069336579343,2712.5463150301584,4006.442785940241,2787.957188092837,2581.162189195951,4114.881005937453,6407.177672844644,4203.58228195357,5046.828298489789,6180.248112842705,4177.794044261839,1751.633994956475,1726.970413647866,5127.726359716323,4250.790893490687,2409.1440885056263,5031.849429832338,4901.9536281237615,4688.248942119247,3855.747061887184,4170.120998706662,6116.768006712919,6394.345380131468,3475.5808432484714,6417.586462496333,5567.727712735515,3741.553317158936,3750.9422608305167,3667.1330803087394,2953.5174911725912,6225.336692170387,1505.0282803155794,4303.748809015664,5050.622873787528,3980.414532771362,6435.898833952607,6669.96832108577,3187.3204190937777,5062.457124641624,5802.652927232913,1119.7692321524353,3418.3474327938347,3986.363089660016,2044.740716189404,4307.580295953529,5778.053986202696,4032.415465239482,5103.780338439164,5369.422797762708,3186.0274969326897,4840.219518555603,4289.9238065089485,2668.791896298588,3489.523573503233
SSP585,San_Diego_Crossing,Crawler_Outputs,2277.029194490912,2053.283974503175,3510.448040547129,2846.479519961073,2647.155547714756,3494.1694609681417,3322.782703336657,856.3182590275994,2069.789448673138,3571.56992193829,3827.295199273745,2424.6791946960043,2643.37423964056,3641.990409263192,3582.7508708697824,3394.4424401578985,3561.9394650147738,2914.528896798084,3315.7944186520745,2302.4115349912813,3902.9162012536535,4508.8352431875,4384.2298970096135,3254.785466458576,3716.688426853493,4360.867423582236,4563.576077274791,3133.5078190302784,4223.244686785965,4286.4231477091125,4849.267265435223,4967.15971331946,4032.392463345405,3500.7836415110683,4200.334786487549,5471.724169358122,4562.521289360196,4251.465778688423,5624.766240786314,4960.416679455348,5094.018398049853,6151.037721845579,5895.267759252257,5034.890054703297,5748.106706394664,4856.899341576402,6310.460840577644,6627.568317909961,6695.26730767035,5573.599572322077,6124.025225771175,7342.068904355533,5687.082686415934,6099.190549465761,6172.726390636684,6470.937711028662,6874.95711826626,6415.018596541137,6929.158779055283,7824.893947554493,6728.5134616406,7000.32905043121,6620.876726049612,6591.202485453794,6829.140088015885,6609.880756797674,7377.482314806804,7314.01668815176,7942.971375118291,7053.980974633996,7517.061697331341,8265.212857316628,8345.035870778429,7604.322280162426,6763.256413366439,7821.089778753545,8541.909925309077,7544.028471952236
SSP119,Tucson_Crossing,Crawler_Outputs,21637.552154625435,21115.378736092323,22002.487086538706,21977.43783025953,21731.104915410568,22009.721978467474,21649.832366103805,22092.174703813143,22741.404261699256,21682.219970738304,22159.987764898942,22286.84009242467,22890.76374849845,22683.642425673097,21978.4207562414,22257.92277146824,23104.569648991222,22564.359627984708,22712.25922000521,22768.406606120247,22864.15788264352,22872.25327825404,22868.32427221561,22667.04180906804,23079.55122311119,22665.725144473967,22826.57970640456,23245.39326425607,24056.131154760667,23766.47207645887,23308.02433737781,23183.26742888221,23153.428483023625,22638.26169610385,23265.96958214637,23371.665166558367,23230.12153648916,23391.97052920861,23450.462582413027,23720.6224221554,23719.567229864628,23154.04027822395,23270.437397639147,23499.69784998229,23728.648112905048,23786.87559278031,23515.55418315405,24418.02603312764,24201.307084706907,23541.36394743277,24083.7788660884,24573.096654549143,23245.333941628305,24072.968032325512,24161.913388036868,23778.951156727708,24319.66915678947,24515.15545518393,24215.80751910428,24372.958054426766,24579.67503448272,24557.444852641733,24467.49302175669,24625.04497868203,24351.57961276784,23922.399157821696,24520.657295364395,25095.468762013472,24521.365985221044,24927.899691312705,24378.748916424564,25263.58558552757,25117.75404288247,25037.463700120505,24945.08509318188,25093.595940824907,25103.734937322635,25239.24519896433
